Department,Status,Total,"Last Activity"
"WoT → Вопросы по аккаунту WoT → Удаление аккаунта","Need info",143,"6 days 21 hours 49 minutes"
"WoT → Вопросы по аккаунту WoT → Удаление аккаунта","In Queue",18,"0 days 10 hours 23 minutes"
"WoT → Вопросы по аккаунту WoT → Удаление аккаунта","Info Given",3,"0 days 10 hours 52 minutes"
"WoT → Вопросы по аккаунту WoT → Удаление аккаунта",Reopened,1,"0 days 00 hours 16 minutes"
"WoT → Вопросы технического характера WoT → Не могу установить и/или обновить","Need info",152,"42 days 15 hours 06 minutes"
"WoT → Вопросы технического характера WoT → Не могу установить и/или обновить","Info Given",21,"0 days 18 hours 40 minutes"
"WoT → Вопросы по аккаунту WoT → Хочу отвязать телефон","Need info",150,"42 days 15 hours 34 minutes"
"WoT → Вопросы по аккаунту WoT → Хочу отвязать телефон","In Queue",62,"0 days 10 hours 55 minutes"
"WoT → Вопросы по аккаунту WoT → Хочу отвязать телефон","Info Given",3,"0 days 08 hours 27 minutes"
"WoT → Вопросы по аккаунту WoT → Хочу отвязать телефон",Reopened,2,"0 days 10 hours 37 minutes"
"WoT → Вопросы технического характера WoT → Вопросы интернет-соединения, ping в игре","Need info",286,"42 days 15 hours 02 minutes"
"WoT → Вопросы технического характера WoT → Вопросы интернет-соединения, ping в игре","On hold",2,"43 days 00 hours 49 minutes"
"WoT → Вопросы технического характера WoT → Вопросы интернет-соединения, ping в игре","Info Given",21,"0 days 17 hours 33 minutes"
"WoT → Вопросы технического характера WoT → Вопросы интернет-соединения, ping в игре","In Queue",1,"0 days 00 hours 30 minutes"
"DPP → Question DPP","In Queue",6,"34 days 08 hours 51 minutes"
"DPP → Question DPP","On hold",3,"125 days 15 hours 33 minutes"
"DPP → Question DPP",Reopened,1,"90 days 21 hours 29 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoWS","Info Given",16,"27 days 17 hours 29 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoWS",Reopened,1,"12 days 04 hours 42 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoWS","In Queue",1,"1 days 19 hours 28 minutes"
"Project Support Issues → Game Experts → Game Experts WoT","On hold",2,"8 days 20 hours 14 minutes"
"Project Support Issues → BUGS → Bugs WoTB","In Queue",10,"12 days 20 hours 08 minutes"
"Project Support Issues → BUGS → Bugs WoTB","Need info",1,"42 days 14 hours 59 minutes"
"Project Support Issues → BUGS → Bugs WoTB","Info Given",3,"6 days 17 hours 17 minutes"
"Blitz → Нарушения Правил игры Blitz → WoTB Жалобы на нарушения Правил игры","Need info",249,"39 days 21 hours 49 minutes"
"Blitz → Нарушения Правил игры Blitz → WoTB Жалобы на нарушения Правил игры",Reopened,15,"1 days 08 hours 58 minutes"
"Blitz → Нарушения Правил игры Blitz → WoTB Жалобы на нарушения Правил игры","In Queue",137,"1 days 20 hours 36 minutes"
"Blitz → Нарушения Правил игры Blitz → WoTB Жалобы на нарушения Правил игры","Info Given",46,"2 days 04 hours 05 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoT","On hold",3,"643 days 05 hours 52 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoT","Info Given",7,"26 days 09 hours 31 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoT",Reopened,1,"4 days 21 hours 30 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Не получил награду за ивент / конкурс / стрим","On hold",3,"40 days 18 hours 34 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Не получил награду за ивент / конкурс / стрим","Info Given",1,"0 days 10 hours 44 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Не получил награду за ивент / конкурс / стрим","In Queue",1,"0 days 12 hours 06 minutes"
"Blitz → Вопросы по аккаунту Blitz → Не могу зайти на почту","Need info",12,"6 days 17 hours 43 minutes"
"WoT → Вопросы по аккаунту WoT → Проблема при авторизации","Need info",89,"6 days 22 hours 49 minutes"
"WoT → Вопросы по аккаунту WoT → Проблема при авторизации","On hold",5,"1 days 16 hours 44 minutes"
"WoT → Вопросы по аккаунту WoT → Проблема при авторизации","In Queue",22,"0 days 12 hours 22 minutes"
"WoT → Вопросы по аккаунту WoT → Проблема при авторизации",Reopened,1,"0 days 00 hours 18 minutes"
"WoT → Вопросы по аккаунту WoT → Проблема при авторизации","Info Given",1,"0 days 12 hours 37 minutes"
"WoWP → Вопросы технического характера WoWP → Проблемы с игровым клиентом","Need info",28,"6 days 16 hours 18 minutes"
"WoT → Турниры и Клановые войны → Глобальная карта","Need info",3,"6 days 21 hours 49 minutes"
"WoT → Турниры и Клановые войны → Глобальная карта","On hold",1,"0 days 22 hours 13 minutes"
"WoT → Турниры и Клановые войны → Глобальная карта","In Queue",2,"0 days 11 hours 52 minutes"
"WOWS → Вопросы технического характера WoWS → Звук, чат","Need info",7,"6 days 21 hours 49 minutes"
"WoT → Вопросы по геймплею WoT → Другие вопросы по геймплею","Need info",210,"6 days 22 hours 30 minutes"
"WoT → Вопросы по геймплею WoT → Другие вопросы по геймплею","On hold",25,"8 days 20 hours 47 minutes"
"WoT → Вопросы по геймплею WoT → Другие вопросы по геймплею",Reopened,45,"0 days 12 hours 37 minutes"
"WoT → Вопросы по геймплею WoT → Другие вопросы по геймплею","In Queue",144,"0 days 12 hours 50 minutes"
"WoT → Вопросы по геймплею WoT → Другие вопросы по геймплею","Info Given",15,"0 days 12 hours 48 minutes"
"WoT → Нарушения Правил игры WoT → WOT Обжалование наказаний","Need info",63,"42 days 06 hours 29 minutes"
"WoT → Нарушения Правил игры WoT → WOT Обжалование наказаний","On hold",3,"1 days 11 hours 21 minutes"
"WoT → Нарушения Правил игры WoT → WOT Обжалование наказаний","In Queue",168,"0 days 15 hours 39 minutes"
"WoT → Нарушения Правил игры WoT → WOT Обжалование наказаний","Info Given",14,"0 days 19 hours 12 minutes"
"WoT → Нарушения Правил игры WoT → WOT Обжалование наказаний",Reopened,26,"0 days 20 hours 08 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoWP",Reopened,1,"23 days 19 hours 44 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoWP","In Queue",1,"5 days 23 hours 57 minutes"
"DPP → Error DPP","In Queue",7,"36 days 19 hours 28 minutes"
"DPP → Error DPP","On hold",4,"134 days 14 hours 44 minutes"
"DPP → Error DPP","Info Given",1,"0 days 10 hours 49 minutes"
"WOWS → Вопросы по аккаунту WOWS → Проблема при авторизации","Need info",14,"6 days 20 hours 49 minutes"
"WOWS → Вопросы по аккаунту WOWS → Проблема при авторизации","Info Given",1,"0 days 12 hours 15 minutes"
"WOWS → Вопросы по аккаунту WOWS → Проблема при авторизации","On hold",3,"0 days 21 hours 26 minutes"
"WOWS → Вопросы по аккаунту WOWS → Проблема при авторизации","In Queue",4,"0 days 12 hours 01 minutes"
"WoT → Вопросы по геймплею WoT → Личные боевые задачи","Need info",98,"6 days 20 hours 28 minutes"
"WoT → Вопросы по геймплею WoT → Личные боевые задачи","In Queue",37,"0 days 12 hours 33 minutes"
"WoT → Вопросы по геймплею WoT → Личные боевые задачи",Reopened,4,"0 days 11 hours 13 minutes"
"WoT → Вопросы по геймплею WoT → Личные боевые задачи","On hold",5,"0 days 18 hours 54 minutes"
"WoT → Вопросы по геймплею WoT → Личные боевые задачи","Info Given",1,"0 days 05 hours 10 minutes"
"WOWS → Вопросы технического характера WoWS → Вопросы интернет-соединения, ping в игре","Need info",46,"6 days 22 hours 49 minutes"
"Blitz → Вопросы технического характера Blitz → Вопросы интернет-соединения, ping в игре","Need info",64,"42 days 14 hours 53 minutes"
"WOWS → Вопросы по аккаунту WOWS → Удаление аккаунта","Need info",4,"42 days 16 hours 06 minutes"
"WOWS → Вопросы по аккаунту WOWS → Удаление аккаунта","In Queue",3,"0 days 07 hours 10 minutes"
"Blitz → Вопросы технического характера Blitz → Не могу установить и/или обновить","Need info",46,"42 days 01 hours 35 minutes"
"Blitz → Вопросы технического характера Blitz → Не могу установить и/или обновить","On hold",20,"5 days 19 hours 01 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Случайно продал технику","Need info",51,"39 days 21 hours 49 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Случайно продал технику","In Queue",30,"0 days 12 hours 46 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Случайно продал технику",Reopened,1,"0 days 11 hours 14 minutes"
"Blitz → Вопросы по игре и игровому имуществу Blitz → Случайно продал технику","Info Given",1,"0 days 05 hours 41 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoTB","On hold",3,"42 days 18 hours 23 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoTB","Info Given",8,"25 days 21 hours 06 minutes"
"Project Support Issues → Tech Experts → Tech Experts WoTB",Reopened,1,"0 days 05 hours 30 minutes"
"Project Support Issues → Game Experts → Game Experts WoTB","In Queue",12,"20 days 21 hours 00 minutes"
"Project Support Issues → Game Experts → Game Experts WoTB",Reopened,1,"20 days 12 hours 19 minutes"
"Project Support Issues → Game Experts → Game Experts WoTB","Info Given",2,"2 days 15 hours 18 minutes"
"WoT → Вопросы по аккаунту WoT → Взломали аккаунт","Need info",116,"42 days 15 hours 41 minutes"
"WoT → Вопросы по аккаунту WoT → Взломали аккаунт","On hold",1,"6 days 14 hours 49 minutes"
"WoT → Вопросы по аккаунту WoT → Взломали аккаунт","In Queue",18,"0 days 09 hours 59 minutes"
"WoT → Вопросы по аккаунту WoT → Взломали аккаунт",Reopened,6,"0 days 09 hours 55 minutes"
"WoT → Вопросы по аккаунту WoT → Взломали аккаунт","Info Given",4,"0 days 08 hours 28 minutes"
"WoT → Вопросы по игровому имуществу WoT → Взломали аккаунт (Game WoT)","Need info",55,"42 days 09 hours 15 minutes"
"WoT → Вопросы по игровому имуществу WoT → Взломали аккаунт (Game WoT)","In Queue",5,"0 days 10 hours 01 minutes"
"WoT → Вопросы по игровому имуществу WoT → Взломали аккаунт (Game WoT)",Reopened,2,"0 days 10 hours 18 minutes"
"WoT → Вопросы по игровому имуществу WoT → Взломали аккаунт (Game WoT)","Info Given",1,"0 days 07 hours 04 minutes"
